Epoch,Resnext101_LSTM_Single_Layer_Loss,Resnext101_LSTM_3_Layer_Loss,Resnext101_GRU_Single_Layer_Loss,Resnext101_GRU_3_Layer_Loss
0,2697.8413,3074.222966,2611.472727,2801.472077
1,2145.430557,2529.431507,2097.653317,2244.069875
2,2008.86858,2278.073348,1965.658309,2073.954963
3,1912.986762,2143.042129,1866.61518,1949.658623
4,1842.087343,2054.706064,1792.726731,1854.040828
5,1783.095514,1983.455042,1734.023352,1776.935263
6,1728.364915,1909.907696,1682.418346,1713.373314
7,1682.706126,1847.342771,1635.085136,1659.673592
8,1642.221363,1788.19398,1592.732734,1612.722674
9,1606.232691,1738.714657,1556.210914,1572.577387
10,1574.654266,1697.136111,1524.18367,1538.466141
11,1545.204888,1659.093785,1495.68779,1505.874364
12,1518.410958,1624.517989,1467.19191,1478.476719
13,1491.617028,1589.942194,1466.160587,1496.741815
14,1464.823098,1585.366398,1455.129264,1486.742354
15,1482.737665,1570.790602,1450.764608,1495.585213
16,1470.846567,1586.214807,1444.733285,1499.717761
17,1486.406886,1551.639011,1439.701962,1503.85031
18,1468.967204,1550.396549,1442.670639,1507.982858
19,1470.801815,1540.820753,1458.514024,1496.153683
20,1478.226708,1581.244957,1450.545347,1486.741815
21,1479.651602,1588.335828,1442.57667,1475.914454
22,1473.076496,1573.760033,1434.607993,1465.293932
23,1477.501389,1569.184237,1426.639316,1454.673411
24,1468.326283,1572.941775,1431.607993,1449.05289
25,1479.151177,1578.365979,1432.041039,1454.432368
